#name	Subject1
Hs.132325	0.294
Hs.149098	0.68
Hs.279761	-0.044
Hs.95990	0.354
Hs.433343	0.291
Hs.512126	-0.195
Hs.36676	-0.127
Hs.69954	0.161
Hs.111024	-0.311
Hs.258575	0.453
Hs.493406	0.035
Hs.75149	-0.128
Hs.444340	-0.06375
Hs.1706	-0.204
Hs.288697	0.009
Hs.62595	0.318
Hs.196270	-0.046
Hs.439046	-0.658
Hs.440934	0.024
Hs.76561	0.264
Hs.155218	-0.139
Hs.22157	0.449
Hs.384944	-0.639
Hs.197875	-0.114
Hs.26550	0.259
Hs.227817	0.042
Hs.271730	0.542
Hs.349082	-0.201
Hs.250899	0.294
Hs.62767	-0.014
Hs.510847	-0.235
Hs.22546	-0.121
Hs.100299	-0.0555
Hs.13872	0.015
Hs.13350	-0.47
Hs.109752	0.285
Hs.55498	-0.563
Hs.82222	0.048
Hs.5308	-0.344
Hs.133419	0.104
Hs.122843	-0.146
Hs.444552	0.186
Hs.78846	0.13
Hs.528652	0.459
Hs.132160	0.2605
Hs.440494	-0.395
Hs.22010	0.255
Hs.285681	0.207
Hs.172801	0.106
Hs.184929	-0.2155
Hs.433797	0.475
Hs.296317	-0.993
Hs.429643	-0.193
Hs.2421	0.629
Hs.409210	-0.118
Hs.19056	0.289
Hs.137432	0.002
Hs.90303	-0.1
Hs.89525	-0.069
Hs.41707	-0.021
Hs.84318	0.299
Hs.368878	-0.226
Hs.5437	-0.245
Hs.159428	0.374
Hs.235557	-0.177
Hs.458369	-0.233
Hs.466664	-0.037
Hs.382311	0.04
Hs.128065	0.029
Hs.258563	-0.191
Hs.446360	0.431
Hs.374649	-0.298
Hs.387906	-0.1465
Hs.436683	-0.104
Hs.75678	-0.198
Hs.91417	-0.04
Hs.188401	-0.448
Hs.168913	0.499
Hs.442156	-0.095
Hs.166068	-0.15
Hs.503747	0.119
Hs.444439	-0.331
Hs.128501	-0.416
Hs.31731	-0.454
Hs.454253	-0.167
Hs.38039	0.23
Hs.144442	0.294
Hs.3530	0.024
Hs.387787	0.239
Hs.44313	-0.141
Hs.3548	0.058
Hs.336268	0.36
Hs.25333	-0.444
Hs.118666	0.181
Hs.422334	-0.758
Hs.60797	0.03
Hs.113503	0.658
Hs.4241	0.331
Hs.269535	0.259
Hs.117869	-0.015
Hs.494449	-0.1325
Hs.169228	-0.344
Hs.5734	0.337
Hs.343522	0.157
Hs.200586	0.229
Hs.528354	-0.059
Hs.121283	0.128
Hs.75087	0.023
Hs.269902	0.2235
Hs.198288	-0.164
Hs.81376	0.298
Hs.309090	-0.053
Hs.24087	-0.225
Hs.515696	-0.312
Hs.166071	0.269
Hs.129836	-0.197
Hs.7236	0.249
Hs.209153	-0.366
Hs.285115	-0.199666666666667
Hs.132888	-0.243
Hs.433394	-0.048
Hs.235935	-0.066
Hs.4859	-0.221
Hs.387382	-0.464
Hs.103978	-0.001
Hs.434433	0.018
Hs.409194	-0.46
Hs.489237	0.106
Hs.194369	-0.135
Hs.127385	-0.3545
Hs.26813	-0.036
Hs.444556	-0.56
Hs.100217	0.203
Hs.175515	-0.192
Hs.109999	-0.359
Hs.353207	0.152
Hs.480242	0.231
Hs.75527	0.048
Hs.369557	0.228
Hs.5215	0.347
Hs.358898	-0.228
Hs.209205	-0.058
Hs.298089	-0.038
Hs.400456	-0.26
Hs.444304	-0.023
Hs.514833	-0.417
Hs.287921	-0.158
Hs.44677	-0.465
Hs.19414	0.072
Hs.21701	0.402
Hs.404336	0.073
Hs.438767	0.089
Hs.71371	0.059
Hs.413901	0.2205
Hs.77385	-0.124
Hs.528670	-0.119
Hs.67896	0.396
Hs.155975	-0.128
Hs.429180	-0.042
Hs.314623	0.191
Hs.123530	-0.02
Hs.164682	-0.54
Hs.376681	0.219
Hs.10862	0.073
Hs.288856	0.277
Hs.509754	-0.288
Hs.433416	0.087
Hs.356123	0.05
Hs.26518	-0.256
Hs.462306	0.09
Hs.406064	0.087
Hs.274701	0.428
Hs.31442	0.481
Hs.435003	0.343
Hs.270804	0.608
Hs.148845	0.24
Hs.22960	0.377
Hs.363572	0.063
Hs.74597	-0.472
Hs.91481	-0.142
Hs.142498	-0.1425
Hs.437008	0.175
Hs.17200	-0.188
Hs.54470	0.175
Hs.512094	-0.025
Hs.380887	0.439
Hs.9028	0.27
Hs.34136	0.161
Hs.260750	-0.072
Hs.405144	0.498
Hs.62918	0.216
Hs.265829	0.421
Hs.105751	-0.196
Hs.241570	0.48
Hs.42771	-0.311
Hs.37034	-0.037
Hs.190381	-0.318
Hs.306747	-0.449
Hs.521258	0.031
Hs.418291	-0.0075
Hs.195161	-0.067
Hs.254605	-0.265
Hs.144904	-0.203
Hs.115166	0.285
Hs.388918	-0.131
Hs.41270	-0.051
Hs.415997	0.729
Hs.460159	0.401
Hs.379206	-0.096
Hs.423367	-0.455
Hs.264494	-0.053
Hs.406590	0.055
Hs.61255	0.236
Hs.116784	-0.00933333333333333
Hs.119983	0.305
Hs.239444	-0.425
Hs.434886	-0.254
Hs.352656	-0.112
Hs.166270	0.231
Hs.210913	0.131
Hs.180566	-0.031
Hs.168241	-0.02
Hs.23965	0.4
Hs.93868	0.2035
Hs.225819	-0.082
Hs.512050	-0.1
Hs.376803	-0.008
Hs.173328	-0.1705
Hs.349111	0.0325
Hs.61153	-0.474
Hs.406376	0.222
Hs.433764	0.204
Hs.321709	0.133
Hs.83634	0.38
Hs.77897	0.009
Hs.38114	0.033
Hs.56045	-0.136
Hs.128866	0.261
Hs.5856	-0.127
Hs.375921	-0.122
Hs.154073	0.164
Hs.443839	-0.218
Hs.404	0.184
Hs.198468	-0.78
Hs.33102	0.031
Hs.411125	-0.037
Hs.132980	0.195333333333333
Hs.13662	0.012
Hs.171942	-0.145
Hs.117767	-0.313
Hs.111779	0.179
Hs.504035	-0.142
Hs.442733	-0.171
Hs.446429	0.12
Hs.121044	-0.052
Hs.55209	0.315
Hs.431792	0.134
Hs.102336	-0.1675
Hs.444252	-0.069
Hs.183105	0.016
Hs.9661	0.1
Hs.75350	-0.29
Hs.446554	-0.171
Hs.433559	-0.592
Hs.22599	0.117
Hs.72157	-0.04
Hs.26745	-0.289
Hs.143080	0.236
Hs.317095	0.003
Hs.368598	-0.253
Hs.88974	-0.57
Hs.169900	-0.382
Hs.512814	-0.055
Hs.434975	0.062
Hs.239666	-0.18
Hs.79968	-0.092
Hs.2062	0.024
Hs.157106	-0.2655
Hs.378103	-0.116
Hs.233240	0.268
Hs.436549	0.226
Hs.412624	0.24
Hs.438991	0.006
Hs.111099	0.206
Hs.170222	0.285
Hs.258855	0.143
Hs.448658	-0.017
Hs.113823	0.157
Hs.84131	-0.04
Hs.7019	0.358
Hs.443914	0.326
Hs.302903	-0.027
Hs.22824	0.151
Hs.377705	0.312
Hs.143527	-0.0795
Hs.246970	0.003
Hs.17958	0.229
Hs.149303	-0.154
Hs.132753	0.443
Hs.356509	0.154
Hs.306291	0.186
Hs.131452	-0.401
Hs.369849	-0.066
Hs.19469	-0.089
Hs.268554	0.232
Hs.98661	0.06
Hs.279518	0.198
Hs.375439	0.033
Hs.79078	-0.745
Hs.1166	0.051
Hs.8867	0.513
Hs.380169	0.285
Hs.11342	0.311
Hs.75716	-0.478
Hs.321766	-0.1795
Hs.24983	0.055
Hs.18192	0.078
Hs.22616	0.266
Hs.155185	-0.092
Hs.254837	0.372
Hs.7960	-0.229
Hs.379466	-0.231
Hs.437808	0.094
Hs.129952	0.035
Hs.112881	-0.386
Hs.511397	0.157
Hs.13026	-0.27
Hs.503358	-0.58
Hs.356838	0.238
Hs.211203	0.402
Hs.27335	-0.109
Hs.226434	0.114
Hs.493845	0.203
Hs.117030	0.039
Hs.62185	0.106
Hs.434201	0.165
Hs.412870	0.581
Hs.412707	-0.309
Hs.179909	-0.221
Hs.308242	0.299
Hs.345444	-0.06125
Hs.443727	0.188
Hs.519765	0.477
Hs.436664	0.038
Hs.36980	-0.202
Hs.301685	0.355
Hs.446621	-0.555
Hs.126714	0.136
Hs.194718	-0.114
Hs.37109	0.043
Hs.1281	-0.3485
Hs.444247	0.151
Hs.91448	-0.133
Hs.43097	-0.024
Hs.185018	-0.00299999999999997
Hs.435826	0.435
Hs.16184	-0.503
Hs.407546	-0.039
Hs.379991	-0.081
Hs.351413	-0.211
Hs.143878	0.354
Hs.287472	-0.127
Hs.89472	-0.364
Hs.179735	-0.071
Hs.9302	-0.104
Hs.122440	0.237
Hs.442675	-0.204666666666667
Hs.529100	0.813
Hs.97717	0.19
Hs.436896	-0.05
Hs.350265	0.462
Hs.24283	-0.117
Hs.16228	0.273
Hs.433291	0.044
Hs.344037	-0.041
Hs.22302	-0.0683333333333333
Hs.334168	-0.35
Hs.94262	0.252
Hs.318898	-0.041
Hs.9651	-0.164
Hs.61418	-0.309
Hs.13011	0.361
Hs.404501	0.083
Hs.251216	0.285
Hs.7049	0.046
Hs.131842	0.036
Hs.282883	0.366
Hs.87191	-0.201
Hs.435726	0.247
Hs.155079	-0.1835
Hs.13759	-0.111
Hs.188662	-0.433
Hs.288995	0.326
Hs.175218	0.397
Hs.55099	-0.117
Hs.402773	0.289
Hs.79748	-0.241
Hs.181301	-0.428
Hs.249171	0.361
Hs.528679	-0.2785
Hs.311553	-0.325
Hs.406224	0.0065
Hs.113916	0.282
Hs.74576	-0.169
Hs.398348	-0.504
Hs.444665	0.011
Hs.434928	0.089
Hs.288986	0.171
Hs.29645	-0.117
Hs.1407	-0.076
Hs.411865	0.083
Hs.368861	-0.18
Hs.123464	-0.512333333333333
Hs.372800	-0.302
Hs.1770	0.496
Hs.30209	-0.325
Hs.200628	0.097
Hs.37023	0.183
Hs.134497	-0.055
